Time,Azimuth,Zenith
1E-05,-35.21474661,89.97583396
2E-05,-35.21167226,89.9516668
3E-05,-35.20654914,89.92749743
4E-05,-35.19937843,89.90332474
5E-05,-35.19016182,89.87914764
6E-05,-35.17890144,89.85496505
7E-05,-35.16559991,89.83077593
8E-05,-35.15026031,89.80657924
9E-05,-35.13288618,89.78237396
0.0001,-35.11348155,89.75815913
0.00011,-35.09205088,89.7339338
0.00012,-35.06859908,89.70969705
0.00013,-35.04313155,89.68544803
0.00014,-35.01565408,89.66118589
0.00015,-34.98617294,89.63690988
0.00016,-34.9546948,89.61261925
0.00017,-34.92122679,89.58831333
0.00018,-34.88577641,89.56399149
0.00019,-34.84835163,89.53965319
0.0002,-34.80896077,89.51529791
0.00021,-34.76761257,89.49092523
0.00022,-34.72431616,89.46653477
0.00023,-34.67908104,89.44212624
0.00024,-34.63191709,89.41769942
0.00025,-34.58283453,89.39325414
0.00026,-34.53184396,89.36879035
0.00027,-34.47895629,89.34430805
0.00028,-34.4241828,89.31980732
0.00029,-34.36753505,89.29528835
0.0003,-34.30902495,89.27075137
0.00031,-34.24866469,89.24619675
0.00032,-34.18646677,89.22162491
0.00033,-34.12244395,89.19703639
0.00034,-34.05660927,89.17243178
0.00035,-33.98897604,89.14781181
0.00036,-33.9195578,89.12317728
0.00037,-33.84836836,89.09852908
0.00038,-33.77542174,89.07386821
0.00039,-33.70073216,89.04919577
0.0004,-33.62431408,89.02451294
0.00041,-33.54618215,88.99982102
0.00042,-33.46635119,88.97512139
0.00043,-33.38483622,88.95041554
0.00044,-33.30165239,88.92570505
0.00045,-33.21681505,88.90099163
0.00046,-33.13033966,88.87627704
0.00047,-33.04224183,88.85156319
0.00048,-32.9525373,88.82685207
0.00049,-32.86124191,88.80214575
0.0005,-32.76837162,88.77744644
0.00051,-32.67394247,88.75275641
0.00052,-32.57797061,88.72807805
0.00053,-32.48047224,88.70341385
0.00054,-32.38146366,88.6787664
0.00055,-32.28096119,88.65413836
0.00056,-32.17898124,88.62953252
0.00057,-32.07554024,88.60495175
0.00058,-31.97065466,88.58039901
0.00059,-31.864341,88.55587737
0.0006,-31.75661577,88.53138996
0.00061,-31.64749549,88.50694005
0.00062,-31.5369967,88.48253095
0.00063,-31.42513592,88.45816609
0.00064,-31.31192967,88.43384898
0.00065,-31.19739445,88.40958322
0.00066,-31.08154672,88.38537248
0.00067,-30.96440294,88.36122052
0.00068,-30.8459795,88.3371312
0.00069,-30.72629278,88.31310843
0.0007,-30.6053591,88.28915622
0.00071,-30.48319472,88.26527865
0.00072,-30.35981585,88.24147988
0.00073,-30.23523863,88.21776414
0.00074,-30.10947915,88.19413572
0.00075,-29.9825534,88.170599
0.00076,-29.85447733,88.14715843
0.00077,-29.72526677,88.1238185
0.00078,-29.59493749,88.10058379
0.00079,-29.46350517,88.07745894
0.0008,-29.3309854,88.05444865
0.00081,-29.19739366,88.03155766
0.00082,-29.06274536,88.0087908
0.00083,-28.92705578,87.98615294
0.00084,-28.79034012,87.96364899
0.00085,-28.65261345,87.94128394
0.00086,-28.51389076,87.91906281
0.00087,-28.37418692,87.89699067
0.00088,-28.23351667,87.87507265
0.00089,-28.09189466,87.85331392
0.0009,-27.94933541,87.83171967
0.00091,-27.80585333,87.81029516
0.00092,-27.6614627,87.78904568
0.00093,-27.51617771,87.76797655
0.00094,-27.37001239,87.74709313
0.00095,-27.22298067,87.72640082
0.00096,-27.07509635,87.70590503
0.00097,-26.92637312,87.68561123
0.00098,-26.77682452,87.6655249
0.00099,-26.626464,87.64565154
0.001,-26.47530485,87.62599669
0.00101,-26.32336026,87.6065659
0.00102,-26.17064329,87.58736474
0.00103,-26.01716685,87.56839882
0.00104,-25.86294377,87.54967374
0.00105,-25.7079867,87.53119513
0.00106,-25.55230822,87.51296863
0.00107,-25.39592075,87.49499989
0.00108,-25.2388366,87.47729458
0.00109,-25.08106794,87.45985836
0.0011,-24.92262683,87.44269691
0.00111,-24.7635252,87.42581593
0.00112,-24.60377488,87.40922108
0.00113,-24.44338754,87.39291807
0.00114,-24.28237476,87.37691259
0.00115,-24.12074798,87.36121031
0.00116,-23.95851854,87.34581693
0.00117,-23.79569764,87.33073814
0.00118,-23.63229638,87.3159796
0.00119,-23.46832574,87.30154698
0.0012,-23.30379657,87.28744595
0.00121,-23.13871962,87.27368216
0.00122,-22.97310553,87.26026125
0.00123,-22.80696481,87.24718883
0.00124,-22.64030788,87.23447054
0.00125,-22.47314503,87.22211196
0.00126,-22.30548646,87.21011867
0.00127,-22.13734224,87.19849624
0.00128,-21.96872235,87.1872502
0.00129,-21.79963666,87.17638608
0.0013,-21.63009494,87.16590939
0.00131,-21.46010684,87.15582558
0.00132,-21.28968194,87.14614013
0.00133,-21.11882969,87.13685845
0.00134,-20.94755945,87.12798594
0.00135,-20.77588049,87.11952798
0.00136,-20.60380196,87.1114899
0.00137,-20.43133295,87.10387702
0.00138,-20.25848243,87.09669463
0.00139,-20.08525928,87.08994796
0.0014,-19.91167229,87.08364223
0.00141,-19.73773017,87.07778263
0.00142,-19.56344153,87.07237429
0.00143,-19.3888149,87.06742233
0.00144,-19.2138587,87.06293181
0.00145,-19.03858129,87.05890777
0.00146,-18.86299094,87.0553552
0.00147,-18.68709584,87.05227905
0.00148,-18.51090408,87.04968423
0.00149,-18.33442369,87.04757562
0.0015,-18.1576626,87.04595803
0.00151,-17.98062869,87.04483624
0.00152,-17.80332973,87.044215
0.00153,-17.62577345,87.04409899
0.00154,-17.44796746,87.04449286
0.00155,-17.26991933,87.0454012
0.00156,-17.09163655,87.04682857
0.00157,-16.91312653,87.04877946
0.00158,-16.73439662,87.05125832
0.00159,-16.55545409,87.05426956
0.0016,-16.37630614,87.05781752
0.00161,-16.19695991,87.0619065
0.00162,-16.01742248,87.06654075
0.00163,-15.83770084,87.07172445
0.00164,-15.65780193,87.07746175
0.00165,-15.47773263,87.08375673
0.00166,-15.29749975,87.09061342
0.00167,-15.11711003,87.09803579
0.00168,-14.93657017,87.10602777
0.00169,-14.75588678,87.1145932
0.0017,-14.57506644,87.12373589
0.00171,-14.39411564,87.1334596
0.00172,-14.21304083,87.143768
0.00173,-14.03184841,87.15466473
0.00174,-13.85054471,87.16615335
0.00175,-13.669136,87.17823737
0.00176,-13.48762849,87.19092025
0.00177,-13.30602837,87.20420536
0.00178,-13.12434172,87.21809604
0.00179,-12.94257462,87.23259554
0.0018,-12.76073307,87.24770708
0.00181,-12.57882301,87.26343379
0.00182,-12.39685034,87.27977875
0.00183,-12.21482091,87.29674497
0.00184,-12.03274052,87.3143354
0.00185,-11.8506149,87.33255293
0.00186,-11.66844977,87.35140037
0.00187,-11.48625075,87.37088049
0.00188,-11.30402345,87.39099598
0.00189,-11.12177342,87.41174946
0.0019,-10.93950615,87.43314349
0.00191,-10.7572271,87.45518056
0.00192,-10.57494166,87.47786311
0.00193,-10.39265521,87.50119349
0.00194,-10.21037304,87.52517399
0.00195,-10.02810043,87.54980685
0.00196,-9.845842592,87.57509422
0.00197,-9.663604696,87.6010382
0.00198,-9.481391871,87.62764081
