Time,Azimuth,Zenith
0.00165,9.651879828,92.38235714
0.00166,9.548139656,92.36980888
0.00167,9.444055278,92.35687497
0.00168,9.339631449,92.34355582
0.00169,9.234872941,92.32985185
0.0017,9.129784543,92.31576354
0.00171,9.024371058,92.3012914
0.00172,8.918637308,92.28643595
0.00173,8.81258813,92.27119777
0.00174,8.706228376,92.25557745
0.00175,8.599562914,92.23957561
0.00176,8.492596626,92.22319294
0.00177,8.38533441,92.2064301
0.00178,8.277781179,92.18928784
0.00179,8.169941859,92.17176689
0.0018,8.061821391,92.15386805
0.00181,7.953424731,92.13559213
0.00182,7.844756847,92.11693996
0.00183,7.735822721,92.09791242
0.00184,7.626627349,92.07851041
0.00185,7.517175738,92.05873486
0.00186,7.407472911,92.03858673
0.00187,7.2975239,92.018067
0.00188,7.187333751,91.99717669
0.00189,7.076907522,91.97591682
0.0019,6.966250283,91.95428848
0.00191,6.855367115,91.93229276
0.00192,6.74426311,91.90993076
0.00193,6.632943371,91.88720365
0.00194,6.521413012,91.8641126
0.00195,6.409677159,91.84065879
0.00196,6.297740945,91.81684346
0.00197,6.185609516,91.79266785
0.00198,6.073288027,91.76813323
0.00199,5.96078164,91.74324089
0.002,5.848095531,91.71799216
0.00201,5.73523488,91.69238838
0.00202,5.62220488,91.66643091
0.00203,5.509010729,91.64012115
0.00204,5.395657636,91.6134605
0.00205,5.282150816,91.58645039
0.00206,5.168495492,91.55909229
0.00207,5.054696896,91.53138766
0.00208,4.940760265,91.503338
0.00209,4.826690845,91.47494483
0.0021,4.712493887,91.44620968
0.00211,4.59817465,91.41713413
0.00212,4.483738397,91.38771973
0.00213,4.369190399,91.35796809
0.00214,4.254535931,91.32788083
0.00215,4.139780274,91.29745957
0.00216,4.024928716,91.26670597
0.00217,3.909986546,91.23562171
0.00218,3.794959061,91.20420846
0.00219,3.67985156,91.17246794
0.0022,3.564669347,91.14040186
0.00221,3.44941773,91.10801196
0.00222,3.334102019,91.07530001
0.00223,3.218727531,91.04226776
0.00224,3.103299581,91.00891702
0.00225,2.98782349,90.97524957
0.00226,2.87230458,90.94126724
0.00227,2.756748177,90.90697186
0.00228,2.641159605,90.87236527
0.00229,2.525544194,90.83744934
0.0023,2.409907273,90.80222594
0.00231,2.294254172,90.76669695
